016
logo.jpg
CORAL BASE BIANCA
016.png
DESCRIZIONE;;Idropittura lavabile acrilica di finitura murale con ottima resistenza al lavaggio leggermente traspirante per interni. E' caratterizzata da un ottimo potere coprente ed un eccellente punto di bianco. Possiede una buona pennellabilità e una ottima resa, si differenzia dalle normali idropitture per il particolare aspetto vellutato, che esalta la qualità della finitura valorizzando gli ambienti dove viene applicata. Facile da applicare, permette di ottenere finiture di elevato aspetto estetico sia all'utilizzatore privato che al professionista.
ASPETTO;;OPACO
PESO SPECIFICO;;1,6
RESIDUO SECCO;;62
PERMEABILITA AL VAPORE ACQUEO;;BASSA
PRESA DI SPORCO;;BASSA
LAVABILITA';;ALTA
COLORE;;Bianco associato a sistema tintometrico (Colorabile con Coloranti Universali)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	10-14 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;Prima mano: aggiungere il 20% di acqua potabile;Seconda mano: aggiungere il 10% di acqua potabile;Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: LP414-LP514-LP614- LP415-LP515-LP615
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;CORAL1;CORAL2.5;CORAL5;CORAL12.5
;;;;;
Attivo ( SI / NO );;SI
