005
logo.jpg
TITANIT BASE BIANCA
005.png
DESCRIZIONE;;Idropittura Idrorepellente traspirante per interni. E' caratterizzata da buon potere coprente e un buon punto di bianco. Facile da applicare, possiede un'ottima pennellabilità e una buona resa. Indicata per cucine, bagni ed in genere per locali soggetti alla formazione di condensa.
ASPETTO;;OPACO
PESO SPECIFICO;;1,57
RESIDUO SECCO;;67
PERMEABILITA AL VAPORE ACQUEO;;MEDIA
PRESA DI SPORCO;;BASSA
LAVABILITA';;MEDIA
COLORE;;Bianco associato a sistema tintometrico (Colorabile con Coloranti Universali)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	10-14 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;Prima mano: aggiungere il 30% di acqua potabile;Seconda mano: aggiungere il 25% di acqua potabile;Spruzzo airless:aggiungere tra il 30% e il 40% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;TITANIT1;TITANIT2.5;TITANIT5;TITANIT12.5
