190
logo.jpg
PROCOVER
190.png
DESCRIZIONE;;Idropittura Idrorepellente traspirante per interni è caratterizzata da ottimo potere coprente e ottimo punto di bianco. Facile da applicare, non richiede l'applicazione di alcun prodotto di fondo, possiede un'ottima pennellabilità e una buona resa. Indicata per cucine, bagni ed in genere per locali soggetti alla formazione di condensa.
ASPETTO;;OPACO
PESO SPECIFICO;;1,51
RESIDUO SECCO;;70
PERMEABILITA AL VAPORE ACQUEO;;MEDIA
PRESA DI SPORCO;;BASSA
LAVABILITA';;MEDIA
COLORE;;Bianco associato a sistema tintometrico (Colorabile con Coloranti Universali)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	12-16 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;Prima mano: aggiungere il 35% di acqua potabile, nel caso di supporti molto sfarinanti aggiungere fino al 100% di acqua potabile;Seconda mano: aggiungere il 30% di acqua potabile;Spruzzo airless:aggiungere tra il 30% e il 40% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;0;0;0;0
;;;;;
Attivo ( SI / NO );;SI
