198
logo.jpg
DECORA BIANCO
198.png
DESCRIZIONE;;Idropittura murale per esterni a base di resine acriliche flessibili elastomeriche. Applicabile su intonaco,laterizi, fibrocemento, legno, ecc. Facile da applicare Resistente all'abrasione umida. Ottimo potere coprente ed elevata resistenza agli agenti atmosferici. Elastico.
ASPETTO;;OPACO
PESO SPECIFICO;;1,68
RESIDUO SECCO;;
PERMEABILITA AL VAPORE ACQUEO;;BASSA
PRESA DI SPORCO;;BASSA
LAVABILITA';;ALTA
COLORE;;Bianco associato a sistema tintometrico (Colorabile con Coloranti Universali)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;5-9 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;Prima mano: aggiungere il 10% di acqua potabile;Seconda mano: Tal quale o aggiungere il 5% massimo di acqua potabile;Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;;;;DECORA12.5
