153
logo.jpg
UNICO LIQUIDO BIANCO
153.png
DESCRIZIONE;;Idropittura Idrorepellente traspirante per interni. E' caratterizzata da ottimo potere coprente e ottimo punto di bianco. Facile da applicare, non richiede l'applicazione di alcun prodotto di fondo, possiede un'ottima pennellabilità e una buona resa. Indicata per cucine, bagni ed in genere per locali soggetti alla formazione di condensa, pronta per essere applicata a spruzzo airless.
ASPETTO;;OPACO
PESO SPECIFICO;;1,55
RESIDUO SECCO;;
PERMEABILITA AL VAPORE ACQUEO;;MEDIA
PRESA DI SPORCO;;BASSA
LAVABILITA';;MEDIA
COLORE;;Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	9-11 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;Prima mano: aggiungere il 35% di acqua potabile;;Spruzzo airless:aggiungere tra il 30% e il 40% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;KGUNICO;;;CISUNICO
;;;;;
Attivo ( SI / NO );;SI
SCHEDA;;153
NOME;;UNICO LIQUIDO BIANCO
