199
logo.jpg
LACTEA BIANCO
199.png
DESCRIZIONE;;Idropittura di finitura murale con ottima resistenza al lavaggio per interni ed esterni. E' caratterizzata da buon potere coprente e buon punto di bianco. Possiede un'ottima pennellabilità e una ottima resa, si differenzia dalle normali idropitture per il particolare aspetto vellutato, che esalta la qualità della finitura valorizzando gli ambienti dove viene applicata ed è quindi particolarmente indicata per la coloritura di locali prestigiosi. Facile da applicare, permette di ottenere finiture di elevato aspetto estetico sia all'utilizzatore privato che al professionista.
ASPETTO;;OPACO
PESO SPECIFICO;;1,36
RESIDUO SECCO;;
PERMEABILITA AL VAPORE ACQUEO;;
PRESA DI SPORCO;;
LAVABILITA';;
COLORE;;Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico)
ESSICCAZIONE;;
RESA PRATICA;;
DILUIZIONE;;;;
ATTREZZI;;
SUPPORTI;;
CODICE ARTICOLO;;;;;LACTEA12.5
