158
logo.jpg
REONYX LIQUIDO BIANCO
158.png
DESCRIZIONE;;Pittura murale all'acqua traspirante per interni, a base di resina vinilica additivata con speciale inibitore ad ampio spettro contro le muffe i funghi e le alghe, ha un buon punto di bianco, è facile da applicare sia a rullo che a pennello, possiede un'ottima pennellabilità, eccellemnte copertura anche su residui di muffe e una ottima resa. Indicata per ambienti casalinghi ed industriali quali cucine, bagni, cantine, spogliatoi ed in genere nei locali soggetti alla formazione di muffe e condense, pronta per essere applicata a spruzzo airless.
ASPETTO;;OPACO
PESO SPECIFICO;;1,56
RESIDUO SECCO;;58
PERMEABILITA AL VAPORE ACQUEO;;ALTA
PRESA DI SPORCO;;BASSA
LAVABILITA';;BASSA
COLORE;;Bianco (Colorabile ssociato a sistema tintometrico)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	9-11 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;Prima mano: aggiungere il 30% di acqua potabile;Seconda mano: aggiungere il 25% di acqua potabile;Spruzzo airless:aggiungere tra il 30% e il 40% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;KGREONYX;;;CISREONYX
