015
logo.jpg
AMETYST BASE BO
015.png
DESCRIZIONE;;Idropittura di finitura murale con ottima resistenza al lavaggio per interni ed esterni. E' caratterizzata da buon potere coprente e buon punto di bianco. Possiede un'ottima pennellabilità e una ottima resa, si differenzia dalle normali idropitture per il particolare aspetto vellutato, che esalta la qualità della finitura valorizzando gli ambienti dove viene applicata ed è quindi particolarmente indicata per la coloritura di locali prestigiosi. Facile da applicare, permette di ottenere finiture di elevato aspetto estetico sia all'utilizzatore privato che al professionista.
ASPETTO;;OPACO
PESO SPECIFICO;;1,44
RESIDUO SECCO;;52
PERMEABILITA AL VAPORE ACQUEO;;BASSA
PRESA DI SPORCO;;BASSA
LAVABILITA';;ALTA
COLORE;;Neutro associato a sistema tintometrico (Colorabile con Coloranti Universali)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	11-15 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;Prima mano: aggiungere il 10% di acqua potabile;Seconda mano: Tal quale o aggiungere il 5% massimo di acqua potabile;Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;AMETYST1NEU;AMETYST2.5NEU;AMETYST5NEU;AMETYST12.5BO
;;;;;
Attivo ( SI / NO );;SI
SCHEDA;;15
NOME;;AMETYST BASE BO
