003
logo.jpg
NEFRIT BASE BIANCA
003.png
DESCRIZIONE;;Idropittura traspirante per interni, caratterizzata da buon potere coprente e buon punto di bianco. Facile da applicare, possiede una ottima pennellabilità buona da usare a rullo ed ha una buona resa, si presta per applicazioni in edifici storici e moderni in cui c'è bisogno di traspirabilità.
ASPETTO;;OPACO
PESO SPECIFICO;;1,58
RESIDUO SECCO;;60
PERMEABILITA AL VAPORE ACQUEO;;ALTA
PRESA DI SPORCO;;BASSA
LAVABILITA';;BASSA
COLORE;;Bianco associato a sistema tintometrico (Colorabile con Coloranti Universali)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	9-13 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;1a mano: aggiungere il 30% di acqua potabile;2a mano: aggiungere il 25% di acqua potabile;Spruzzo airless:aggiungere tra il 30% e il 40% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP623
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;;;NEFRIT5;NEFRIT12.5
