097
logo.jpg
IDROBETON
097.png
DESCRIZIONE;;DISMESSO
ASPETTO;;Liquido
PESO SPECIFICO;;-
RESIDUO SECCO;;
PERMEABILITA AL VAPORE ACQUEO;;BASSA
PRESA DI SPORCO;;BASSA
LAVABILITA';;ALTA
COLORE;;Incolore neutro
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;	8-16 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;Pronto all'uso;;Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: LP411-LP511-LP611- LP413-LP513-LP613
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;;;IDROBETON5;
