002
logo.jpg
TYRKYS BIANCO
002.png
DESCRIZIONE;;Idropittura traspirante per interni, caratterizzata da buon potere coprente e buon punto di bianco. Facile da applicare, possiede una buona pennellabilità ottima da usare a rullo ed ha una buona resa, si presta per applicazioni in edifici storici e moderni in cui c'è bisogno di traspirabilità.
ASPETTO;;OPACO
PESO SPECIFICO;;1,54
RESIDUO SECCO;;
PERMEABILITA AL VAPORE ACQUEO;;ALTA
PRESA DI SPORCO;;BASSA
LAVABILITA';;BASSA
COLORE;;Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;8-10 m2/L per mano in funzione dell'assorbimento del supporto
DILUIZIONE;;1a mano: aggiungere il 30% di acqua potabile;2a mano: aggiungere il 25% di acqua potabile;Spruzzo airless:aggiungere tra il 30% e il 40% di acqua potabile. Ugelli consigliati: H-HBTIP419-H-HBTIP519-H-HBTIP619-H-HBTIP421-H-HBTIP521-H-HBTIP621
ATTREZZI;;	Pennello, Rullo, Spruzzo
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco
CODICE ARTICOLO;;;;TYRKYS5;TYRKYS12.5
